feature,log2FC,pval,padj,networkId
CE,1.5159556244018635,0.003642241105332058,0.019668101968793112,Cholesterolester
Cer,-0.6754561685610321,0.002856566296717703,0.019281822502844496,Ceramide
CL,1.2562812131098884,0.001235918996777994,0.011123270971001947,Cardiolipin_CL
CoA,1.556555738070673,0.001063172345509696,0.011123270971001947,acylCoA
DG,-0.04494929129940229,0.872542642827851,0.9408695962059033,1_2-DG
DG O-,-0.41076502896404354,0.2631314056970546,0.33831180732478455,DG-O
FA,-0.1551648334083554,0.08963650225603664,0.17287039720807068,fattyacid
LPA,-0.45840746257395393,0.20861240763591074,0.2816267503084795,LPA
LPC,0.1068033463306301,0.4981767135663838,0.6113986939223801,LPC
LPC O-,0.6151873264508281,0.0047350257566337,0.021307615904851647,LPC-O
LPE,0.03654837973799037,0.9060225741242031,0.9408695962059033,LPE
LPE O-,0.6395130950065493,0.008631629454550503,0.03329342789612337,LPE-O
LPG,0.9204210283672485,0.032750343472150036,0.09825103041645011,LPG
LPI,0.6417013173245902,0.06882112714720214,0.14293618715188136,LPI
LPS,0.30575089218708734,0.14644333601346807,0.2624701083245519,LPS
MG,-0.25362313996774194,0.05636670380844018,0.12682508356899042,MG
PA,-0.054304865946333804,0.7378163161106707,0.8661321971733961,PA
PC,0.4901979450799485,0.01471514550290228,0.04966361607229519,PC
PC O-,0.5300574998059113,0.04954010909311744,0.12572445866009016,PC-O
PE,0.23577478544992111,0.17205737558981166,0.2669765677812878,PE
PE O-,0.049667123253529594,0.875960361368428,0.9408695962059033,PE-O
PG,1.306569635865457,0.0010638708348522214,0.011123270971001947,PG
PI,0.18820709244665165,0.15553784197010484,0.2624701083245519,PI
PS,0.16445435563457117,0.18280409344171253,0.2669765677812878,PS
SM,-0.004415671263260253,0.9705491461263687,0.9705491461263687,Sphingomyelin
TG,-1.2622400514212222,0.0512210757504071,0.12572445866009016,TG
TG O-,-1.3051475686629603,0.18787239954979512,0.2669765677812878,NA
